lat_lon,Decade,Deaths,Latitude,Longitude,Units
40.69559899-73.956644,1890s,1,40.69559899,-73.956644,LADDER 102
40.69559899-73.956644,1910s,1,40.69559899,-73.956644,LADDER 102
40.69559899-73.956644,1920s,1,40.69559899,-73.956644,LADDER 102
40.69638368-73.91460740000001,1900s,1,40.69638368,-73.91460740000001,"ENGINE 277, LADDER 112"
40.69638368-73.91460740000001,1920s,1,40.69638368,-73.91460740000001,"ENGINE 277, LADDER 112"
40.69638368-73.91460740000001,1940s,1,40.69638368,-73.91460740000001,"ENGINE 277, LADDER 112"
40.69638368-73.91460740000001,1950s,1,40.69638368,-73.91460740000001,"ENGINE 277, LADDER 112"
40.69806134-73.94752496,1920s,2,40.69806134,-73.94752496,ENGINE 230
40.69831646-73.92659655,1910s,1,40.69831646,-73.92659655,ENGINE 218
40.69831646-73.92659655,1950s,1,40.69831646,-73.92659655,ENGINE 218
40.69831646-73.92659655,1960s,1,40.69831646,-73.92659655,ENGINE 218
40.69997962-73.99226129,1900s,1,40.69997962,-73.99226129,LADDER 118
40.69997962-73.99226129,1950s,2,40.69997962,-73.99226129,LADDER 118
40.69997962-73.99226129,1980s,1,40.69997962,-73.99226129,LADDER 118
40.70122225-73.88664964,1940s,1,40.70122225,-73.88664964,"ENGINE 286, LADDER 135"
40.70122225-73.88664964,1970s,1,40.70122225,-73.88664964,"ENGINE 286, LADDER 135"
40.70366085-73.91598825,1920s,2,40.70366085,-73.91598825,"ENGINE 271, LADDER 124"
40.70366085-73.91598825,1970s,1,40.70366085,-73.91598825,"ENGINE 271, LADDER 124"
40.70378834-74.00772267,1860s,2,40.70378834,-74.00772267,"ENGINE 4, LADDER 15"
40.70378834-74.00772267,1870s,1,40.70378834,-74.00772267,"ENGINE 4, LADDER 15"
40.70378834-74.00772267,1880s,1,40.70378834,-74.00772267,"ENGINE 4, LADDER 15"
40.70378834-74.00772267,1900s,2,40.70378834,-74.00772267,"ENGINE 4, LADDER 15"
40.70378834-74.00772267,1930s,1,40.70378834,-74.00772267,"ENGINE 4, LADDER 15"
40.70378834-74.00772267,1950s,1,40.70378834,-74.00772267,"ENGINE 4, LADDER 15"
40.70531872-73.93190416,1960s,1,40.70531872,-73.93190416,ENGINE 237
40.70620859-73.95079653,1880s,1,40.70620859,-73.95079653,"BATTALION 35, ENGINE 216, LADDER 108"
40.70620859-73.95079653,1900s,2,40.70620859,-73.95079653,"BATTALION 35, ENGINE 216, LADDER 108"
40.70620859-73.95079653,1930s,1,40.70620859,-73.95079653,"BATTALION 35, ENGINE 216, LADDER 108"
40.70759267-73.80417023,1950s,2,40.70759267,-73.80417023,"BATTALION 50, ENGINE 298, LADDER 127"
40.70759267-73.80417023,1970s,1,40.70759267,-73.80417023,"BATTALION 50, ENGINE 298, LADDER 127"
40.70759267-73.80417023,1990s,1,40.70759267,-73.80417023,"BATTALION 50, ENGINE 298, LADDER 127"
40.70759267-73.80417023,2000s,1,40.70759267,-73.80417023,"BATTALION 50, ENGINE 298, LADDER 127"
40.70983075-74.01257208,1860s,1,40.70983075,-74.01257208,"ENGINE 10, LADDER 10"
40.70983075-74.01257208,1900s,1,40.70983075,-74.01257208,"ENGINE 10, LADDER 10"
